#Samples,Avg. cos sim with true grad,Avg. pairwise cos sim,Norm,Estimator,K,trial
236,0.8379384875297546,0.7407381534576416,0.19220945239067078,dpg,0,Generator(PCG64)
236,0.8315544128417969,0.7495163083076477,0.18496832251548767,maac,0,Generator(PCG64)
241,0.8347471356391907,0.7338724732398987,0.18588954210281372,dpg,0,Generator(PCG64)
241,0.8311222195625305,0.7329049110412598,0.18254466354846954,maac,0,Generator(PCG64)
246,0.8249979019165039,0.7266036868095398,0.18262265622615814,dpg,0,Generator(PCG64)
246,0.8413603901863098,0.7458506226539612,0.1736873984336853,maac,0,Generator(PCG64)
252,0.8323777318000793,0.7263574600219727,0.1935463696718216,dpg,0,Generator(PCG64)
252,0.8248888254165649,0.7058054804801941,0.17511707544326782,maac,0,Generator(PCG64)
257,0.8378363847732544,0.7346771359443665,0.17729832231998444,dpg,0,Generator(PCG64)
257,0.8623831868171692,0.7805830836296082,0.17657992243766785,maac,0,Generator(PCG64)
262,0.8393796682357788,0.7350227236747742,0.17623759806156158,dpg,0,Generator(PCG64)
262,0.8351163864135742,0.7259232997894287,0.18106266856193542,maac,0,Generator(PCG64)
267,0.8232253789901733,0.7174451351165771,0.18162406980991364,dpg,0,Generator(PCG64)
267,0.8440078496932983,0.7555624842643738,0.18127796053886414,maac,0,Generator(PCG64)
272,0.8295676112174988,0.7469012141227722,0.18289627134799957,dpg,0,Generator(PCG64)
272,0.8502250909805298,0.7583786249160767,0.18249957263469696,maac,0,Generator(PCG64)
277,0.8268892168998718,0.7443064451217651,0.18078918755054474,dpg,0,Generator(PCG64)
277,0.8597463369369507,0.7892259955406189,0.18145060539245605,maac,0,Generator(PCG64)
282,0.840235710144043,0.7525292038917542,0.17746460437774658,dpg,0,Generator(PCG64)
282,0.8415918350219727,0.7481767535209656,0.17604075372219086,maac,0,Generator(PCG64)
287,0.8410771489143372,0.7608941793441772,0.173365518450737,dpg,0,Generator(PCG64)
287,0.8461402654647827,0.7641631364822388,0.17152029275894165,maac,0,Generator(PCG64)
292,0.824689507484436,0.7312403917312622,0.18536296486854553,dpg,0,Generator(PCG64)
292,0.8511782884597778,0.7588015794754028,0.18572966754436493,maac,0,Generator(PCG64)
297,0.8605453372001648,0.7874478697776794,0.17360994219779968,dpg,0,Generator(PCG64)
297,0.8244192004203796,0.7210583090782166,0.18765795230865479,maac,0,Generator(PCG64)
302,0.8713809251785278,0.812382161617279,0.191297248005867,dpg,0,Generator(PCG64)
302,0.8664507865905762,0.7916456460952759,0.17817941308021545,maac,0,Generator(PCG64)
307,0.8530393838882446,0.7878597974777222,0.17980316281318665,dpg,0,Generator(PCG64)
307,0.8482052087783813,0.7759175896644592,0.17731407284736633,maac,0,Generator(PCG64)
312,0.8704155087471008,0.8040812015533447,0.18520180881023407,dpg,0,Generator(PCG64)
312,0.85888671875,0.7795136570930481,0.1771249920129776,maac,0,Generator(PCG64)
317,0.8746792674064636,0.8246555924415588,0.17792484164237976,dpg,0,Generator(PCG64)
317,0.8504292368888855,0.7809040546417236,0.17491528391838074,maac,0,Generator(PCG64)
322,0.8657526969909668,0.7968060970306396,0.18548932671546936,dpg,0,Generator(PCG64)
322,0.8645364046096802,0.7956004738807678,0.17634472250938416,maac,0,Generator(PCG64)
327,0.8517199754714966,0.7897878885269165,0.17648862302303314,dpg,0,Generator(PCG64)
327,0.8651620745658875,0.7862381935119629,0.17661115527153015,maac,0,Generator(PCG64)
332,0.8793652653694153,0.8071153163909912,0.17994722723960876,dpg,0,Generator(PCG64)
332,0.8746169805526733,0.8012827634811401,0.17531153559684753,maac,0,Generator(PCG64)
337,0.8673589825630188,0.7791685461997986,0.17468483746051788,dpg,0,Generator(PCG64)
337,0.8772112131118774,0.8234387636184692,0.16888943314552307,maac,0,Generator(PCG64)
342,0.8699103593826294,0.7979870438575745,0.17665407061576843,dpg,0,Generator(PCG64)
342,0.8807435035705566,0.80823814868927,0.1717451810836792,maac,0,Generator(PCG64)
347,0.8657076954841614,0.7941240072250366,0.16912353038787842,dpg,0,Generator(PCG64)
347,0.8530153036117554,0.7794229388237,0.17293378710746765,maac,0,Generator(PCG64)
