#Samples,Avg. cos sim with true grad,Avg. pairwise cos sim,Norm,Estimator,K,trial
407,0.9773355722427368,0.9635317325592041,65.40211486816406,maac,2,Generator(PCG64)
412,0.9189053773880005,0.8736911416053772,23.356300354003906,dpg,2,Generator(PCG64)
412,0.9693218469619751,0.9460458755493164,66.26554870605469,maac,2,Generator(PCG64)
417,0.91932213306427,0.8756697773933411,23.03499412536621,dpg,2,Generator(PCG64)
417,0.9732090830802917,0.9565871357917786,64.4427490234375,maac,2,Generator(PCG64)
422,0.921357274055481,0.8712632656097412,22.007537841796875,dpg,2,Generator(PCG64)
422,0.9792034029960632,0.9675105810165405,63.95735549926758,maac,2,Generator(PCG64)
427,0.9234724044799805,0.8694016933441162,22.03424644470215,dpg,2,Generator(PCG64)
427,0.9741529226303101,0.9605467915534973,67.2332763671875,maac,2,Generator(PCG64)
432,0.9266279935836792,0.8718248009681702,22.593217849731445,dpg,2,Generator(PCG64)
432,0.9733281135559082,0.95649254322052,63.87598419189453,maac,2,Generator(PCG64)
437,0.9309237599372864,0.8866787552833557,22.872350692749023,dpg,2,Generator(PCG64)
437,0.974016010761261,0.9628747701644897,65.98905181884766,maac,2,Generator(PCG64)
442,0.9232876896858215,0.8738585710525513,22.787229537963867,dpg,2,Generator(PCG64)
442,0.9777894020080566,0.967437744140625,64.61074829101562,maac,2,Generator(PCG64)
447,0.9279156923294067,0.8843222856521606,22.016159057617188,dpg,2,Generator(PCG64)
447,0.9750636219978333,0.9694550633430481,65.1353988647461,maac,2,Generator(PCG64)
452,0.9379907846450806,0.8995963335037231,23.025348663330078,dpg,2,Generator(PCG64)
452,0.9716365933418274,0.951653778553009,66.86271667480469,maac,2,Generator(PCG64)
457,0.9328174591064453,0.8848060369491577,22.423564910888672,dpg,2,Generator(PCG64)
457,0.9732077717781067,0.9564986228942871,66.89576721191406,maac,2,Generator(PCG64)
462,0.9377886056900024,0.8972994685173035,22.59634780883789,dpg,2,Generator(PCG64)
462,0.9742604494094849,0.9635347127914429,66.6379623413086,maac,2,Generator(PCG64)
467,0.9323290586471558,0.8907663226127625,22.722890853881836,dpg,2,Generator(PCG64)
467,0.9792922139167786,0.9688497185707092,63.39253616333008,maac,2,Generator(PCG64)
472,0.9316150546073914,0.8918494582176208,22.692462921142578,dpg,2,Generator(PCG64)
472,0.980617344379425,0.9744542241096497,65.29696655273438,maac,2,Generator(PCG64)
477,0.9246343374252319,0.8668367862701416,22.605579376220703,dpg,2,Generator(PCG64)
477,0.9761331677436829,0.9587843418121338,65.47053527832031,maac,2,Generator(PCG64)
482,0.9237875938415527,0.8695136308670044,22.041629791259766,dpg,2,Generator(PCG64)
482,0.9788290858268738,0.9660735130310059,68.83039855957031,maac,2,Generator(PCG64)
487,0.9363492727279663,0.895642876625061,23.529983520507812,dpg,2,Generator(PCG64)
487,0.980063259601593,0.9672666788101196,65.72457885742188,maac,2,Generator(PCG64)
492,0.9281953573226929,0.8832588791847229,23.01400375366211,dpg,2,Generator(PCG64)
492,0.9799150228500366,0.9687598347663879,65.76121520996094,maac,2,Generator(PCG64)
497,0.9339739680290222,0.8931756019592285,22.041439056396484,dpg,2,Generator(PCG64)
497,0.9779726266860962,0.965083122253418,65.95550537109375,maac,2,Generator(PCG64)
503,0.9268198013305664,0.8787622451782227,22.05410385131836,dpg,2,Generator(PCG64)
503,0.9770519137382507,0.9634264707565308,64.98380279541016,maac,2,Generator(PCG64)
508,0.9306401014328003,0.89014732837677,21.9978084564209,dpg,2,Generator(PCG64)
508,0.9788652658462524,0.9664188027381897,64.72370147705078,maac,2,Generator(PCG64)
513,0.93620365858078,0.8970854878425598,22.934528350830078,dpg,2,Generator(PCG64)
513,0.9729057550430298,0.9603303670883179,64.42213439941406,maac,2,Generator(PCG64)
518,0.9369907379150391,0.8943937420845032,23.63338851928711,dpg,2,Generator(PCG64)
518,0.9789630770683289,0.9669203758239746,65.93693542480469,maac,2,Generator(PCG64)
523,0.9443792104721069,0.9118723273277283,22.609294891357422,dpg,2,Generator(PCG64)
523,0.9770538210868835,0.9625633955001831,66.98894500732422,maac,2,Generator(PCG64)
528,0.9298090934753418,0.8877372145652771,22.342731475830078,dpg,2,Generator(PCG64)
528,0.9806234240531921,0.9742460250854492,64.7311782836914,maac,2,Generator(PCG64)
533,0.9287835955619812,0.8847746253013611,21.490806579589844,dpg,2,Generator(PCG64)
533,0.9810698628425598,0.9746720194816589,65.04698944091797,maac,2,Generator(PCG64)
538,0.935293972492218,0.8991536498069763,22.61436653137207,dpg,2,Generator(PCG64)
538,0.9767014384269714,0.9634944200515747,65.91682434082031,maac,2,Generator(PCG64)
543,0.9330145120620728,0.8885453939437866,23.300596237182617,dpg,2,Generator(PCG64)
543,0.9809399843215942,0.9700865149497986,65.75724792480469,maac,2,Generator(PCG64)
548,0.9323660731315613,0.8888969421386719,22.86993980407715,dpg,2,Generator(PCG64)
548,0.9796360731124878,0.9647218585014343,66.94308471679688,maac,2,Generator(PCG64)
553,0.9372072219848633,0.9024429321289062,22.85807228088379,dpg,2,Generator(PCG64)
553,0.9737979173660278,0.9619792699813843,66.02162170410156,maac,2,Generator(PCG64)
558,0.939902126789093,0.910219669342041,23.25185775756836,dpg,2,Generator(PCG64)
558,0.9806023836135864,0.9712128639221191,65.43894958496094,maac,2,Generator(PCG64)
563,0.9309202432632446,0.8915740251541138,22.901519775390625,dpg,2,Generator(PCG64)
563,0.9800093770027161,0.9730523228645325,65.7088623046875,maac,2,Generator(PCG64)
568,0.9427716135978699,0.9041827917098999,22.581111907958984,dpg,2,Generator(PCG64)
568,0.9799650311470032,0.9682086706161499,66.47758483886719,maac,2,Generator(PCG64)
573,0.9446872472763062,0.9036141037940979,22.835861206054688,dpg,2,Generator(PCG64)
573,0.981957733631134,0.972536563873291,64.60594177246094,maac,2,Generator(PCG64)
578,0.9427648782730103,0.9083355665206909,22.291072845458984,dpg,2,Generator(PCG64)
578,0.9800411462783813,0.9686328172683716,65.21134948730469,maac,2,Generator(PCG64)
583,0.9317958950996399,0.9018984436988831,22.569374084472656,dpg,2,Generator(PCG64)
583,0.9824972152709961,0.9728421568870544,65.2323226928711,maac,2,Generator(PCG64)
588,0.9464839696884155,0.9210569858551025,22.414932250976562,dpg,2,Generator(PCG64)
588,0.9803892374038696,0.9699305295944214,68.25308990478516,maac,2,Generator(PCG64)
593,0.9384379386901855,0.904303252696991,23.02654457092285,dpg,2,Generator(PCG64)
593,0.9804323315620422,0.9705632328987122,65.0788345336914,maac,2,Generator(PCG64)
598,0.9315792322158813,0.8935821652412415,22.71158790588379,dpg,2,Generator(PCG64)
598,0.9831174612045288,0.9740827083587646,66.77457427978516,maac,2,Generator(PCG64)
603,0.9339277148246765,0.8863778114318848,22.626768112182617,dpg,2,Generator(PCG64)
603,0.9811743497848511,0.9706131815910339,65.94551849365234,maac,2,Generator(PCG64)
608,0.94282466173172,0.9119012355804443,21.699203491210938,dpg,2,Generator(PCG64)
608,0.9817097783088684,0.9698539972305298,66.07626342773438,maac,2,Generator(PCG64)
613,0.9326339960098267,0.8918667435646057,22.01887321472168,dpg,2,Generator(PCG64)
613,0.9786346554756165,0.9707445502281189,62.70933151245117,maac,2,Generator(PCG64)
618,0.9446245431900024,0.9198674559593201,22.036853790283203,dpg,2,Generator(PCG64)
618,0.9815713763237,0.9742618203163147,65.28257751464844,maac,2,Generator(PCG64)
623,0.9420663714408875,0.9078198671340942,22.421009063720703,dpg,2,Generator(PCG64)
623,0.9789792895317078,0.9734085202217102,63.60948944091797,maac,2,Generator(PCG64)
628,0.9541170001029968,0.9200629591941833,22.415851593017578,dpg,2,Generator(PCG64)
628,0.9804865717887878,0.9709040522575378,65.748046875,maac,2,Generator(PCG64)
633,0.9432373046875,0.9126363396644592,22.52467918395996,dpg,2,Generator(PCG64)
633,0.9828953742980957,0.9774810075759888,64.66712951660156,maac,2,Generator(PCG64)
638,0.9418651461601257,0.9137193560600281,21.684621810913086,dpg,2,Generator(PCG64)
638,0.9780356287956238,0.9643291234970093,66.15249633789062,maac,2,Generator(PCG64)
643,0.9501242637634277,0.9186335802078247,22.230655670166016,dpg,2,Generator(PCG64)
643,0.9834787249565125,0.9768621921539307,65.8057632446289,maac,2,Generator(PCG64)
648,0.9444321393966675,0.9131078720092773,22.257204055786133,dpg,2,Generator(PCG64)
648,0.9808651208877563,0.9707159996032715,65.56825256347656,maac,2,Generator(PCG64)
653,0.9449074864387512,0.9106908440589905,23.349971771240234,dpg,2,Generator(PCG64)
653,0.98008793592453,0.9714142680168152,64.89118194580078,maac,2,Generator(PCG64)
658,0.9498979449272156,0.9282401204109192,22.25215721130371,dpg,2,Generator(PCG64)
658,0.9829723238945007,0.9758429527282715,69.15074157714844,maac,2,Generator(PCG64)
663,0.9471954107284546,0.9182402491569519,22.064210891723633,dpg,2,Generator(PCG64)
663,0.9803444743156433,0.972350537776947,66.14028930664062,maac,2,Generator(PCG64)
668,0.949360191822052,0.9185349345207214,22.392375946044922,dpg,2,Generator(PCG64)
668,0.980945885181427,0.9718748331069946,64.00112915039062,maac,2,Generator(PCG64)
673,0.9485969543457031,0.9197016358375549,23.068477630615234,dpg,2,Generator(PCG64)
673,0.9821639060974121,0.9752063155174255,64.9859390258789,maac,2,Generator(PCG64)
678,0.9431039690971375,0.907715916633606,22.582427978515625,dpg,2,Generator(PCG64)
678,0.9816423654556274,0.9740573167800903,62.704505920410156,maac,2,Generator(PCG64)
683,0.9492399096488953,0.9149953126907349,22.706363677978516,dpg,2,Generator(PCG64)
683,0.977705180644989,0.9663237929344177,64.00293731689453,maac,2,Generator(PCG64)
688,0.9418535232543945,0.9167125225067139,22.36865997314453,dpg,2,Generator(PCG64)
688,0.9771934747695923,0.9688137769699097,65.83946228027344,maac,2,Generator(PCG64)
693,0.9426449537277222,0.9091182947158813,21.954891204833984,dpg,2,Generator(PCG64)
693,0.9841606020927429,0.9767909646034241,65.36406707763672,maac,2,Generator(PCG64)
698,0.9510833024978638,0.9247948527336121,22.756919860839844,dpg,2,Generator(PCG64)
698,0.979730486869812,0.9745969176292419,63.81806564331055,maac,2,Generator(PCG64)
703,0.9484223127365112,0.9243885278701782,22.08025550842285,dpg,2,Generator(PCG64)
703,0.9824479818344116,0.9800511002540588,64.9820556640625,maac,2,Generator(PCG64)
708,0.9498230814933777,0.9220847487449646,22.279848098754883,dpg,2,Generator(PCG64)
708,0.9846265912055969,0.9794375896453857,67.62630462646484,maac,2,Generator(PCG64)
713,0.9525661468505859,0.9302517175674438,21.91297721862793,dpg,2,Generator(PCG64)
713,0.9835960268974304,0.974845290184021,65.244140625,maac,2,Generator(PCG64)
718,0.9487725496292114,0.919128954410553,22.08791732788086,dpg,2,Generator(PCG64)
718,0.9815319180488586,0.9732034206390381,65.16040802001953,maac,2,Generator(PCG64)
723,0.9445635676383972,0.9131411910057068,22.00882339477539,dpg,2,Generator(PCG64)
723,0.9822260141372681,0.9745949506759644,65.21735382080078,maac,2,Generator(PCG64)
728,0.9487504959106445,0.9232669472694397,22.256229400634766,dpg,2,Generator(PCG64)
728,0.9834047555923462,0.9774665236473083,66.00667572021484,maac,2,Generator(PCG64)
733,0.9525743722915649,0.9319674372673035,22.31083106994629,dpg,2,Generator(PCG64)
733,0.9804393649101257,0.97735595703125,65.99956512451172,maac,2,Generator(PCG64)
738,0.9560483694076538,0.9344339966773987,22.282066345214844,dpg,2,Generator(PCG64)
738,0.9788926839828491,0.9704986810684204,64.7179183959961,maac,2,Generator(PCG64)
743,0.9491138458251953,0.9309594035148621,22.44547462463379,dpg,2,Generator(PCG64)
743,0.9860043525695801,0.9826521277427673,64.28199768066406,maac,2,Generator(PCG64)
748,0.947516143321991,0.9157640337944031,22.149784088134766,dpg,2,Generator(PCG64)
748,0.9826528429985046,0.9781715273857117,65.87678527832031,maac,2,Generator(PCG64)
754,0.9403678774833679,0.9003303647041321,22.569095611572266,dpg,2,Generator(PCG64)
754,0.9832382202148438,0.9761213660240173,65.6349868774414,maac,2,Generator(PCG64)
759,0.9498799443244934,0.9248335957527161,22.276731491088867,dpg,2,Generator(PCG64)
759,0.9812873005867004,0.9733451008796692,65.18892669677734,maac,2,Generator(PCG64)
764,0.9610880017280579,0.9407029747962952,22.30556869506836,dpg,2,Generator(PCG64)
764,0.9816226959228516,0.9734467267990112,65.64533996582031,maac,2,Generator(PCG64)
769,0.9503604173660278,0.9286543130874634,22.358318328857422,dpg,2,Generator(PCG64)
769,0.9827407002449036,0.9763492941856384,66.60256958007812,maac,2,Generator(PCG64)
774,0.9538532495498657,0.9386351704597473,22.517169952392578,dpg,2,Generator(PCG64)
774,0.9800186157226562,0.9712900519371033,64.1083984375,maac,2,Generator(PCG64)
779,0.9487507939338684,0.9308817386627197,21.67654800415039,dpg,2,Generator(PCG64)
779,0.985328197479248,0.9810429215431213,66.23300170898438,maac,2,Generator(PCG64)
784,0.9490035772323608,0.930828332901001,21.935667037963867,dpg,2,Generator(PCG64)
784,0.9873542785644531,0.9829677939414978,64.1271743774414,maac,2,Generator(PCG64)
789,0.9517148733139038,0.9330637454986572,21.61514663696289,dpg,2,Generator(PCG64)
789,0.9832382202148438,0.976925253868103,67.51392364501953,maac,2,Generator(PCG64)
794,0.9521111249923706,0.9370649456977844,21.84864616394043,dpg,2,Generator(PCG64)
794,0.9814103841781616,0.9752240777015686,64.71995544433594,maac,2,Generator(PCG64)
799,0.9480613470077515,0.9226614236831665,22.034748077392578,dpg,2,Generator(PCG64)
